employer,period_begin,period_end,post_date,salary,sheltered,unsheltered,total
East Baton Rouge,8/1/1988,8/31/1988,6/30/1989,223.25,0,20.09,20.09
East Baton Rouge,9/1/1988,9/30/1988,6/30/1989,532.65,0,47.94,47.94
East Baton Rouge,10/1/1988,10/31/1988,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,11/1/1988,11/30/1988,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,12/1/1988,12/31/1988,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,1/1/1989,1/31/1989,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,2/1/1989,2/28/1989,6/30/1989,463.9,0,41.76,41.76
East Baton Rouge,3/1/1989,3/31/1989,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,4/1/1989,4/30/1989,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,5/1/1989,5/31/1989,6/30/1989,407.5,0,36.68,36.68
East Baton Rouge,6/1/1989,6/30/1989,7/27/1989,407.5,0,36.68,36.68
East Baton Rouge,7/1/1989,7/31/1989,8/2/1989,506.5,0,35.46,35.46
East Baton Rouge,8/1/1989,8/31/1989,9/27/1989,424,0,29.68,29.68
East Baton Rouge,9/1/1989,9/30/1989,10/19/1989,424,0,29.68,29.68
East Baton Rouge,10/1/1989,10/31/1989,11/20/1989,424,0,29.68,29.68
East Baton Rouge,11/1/1989,11/30/1989,12/29/1989,424,0,29.68,29.68
East Baton Rouge,12/1/1989,12/31/1989,1/17/1990,541,0,37.87,37.87
East Baton Rouge,1/1/1990,1/31/1990,2/23/1990,450,0,31.49,31.49
East Baton Rouge,2/1/1990,2/28/1990,3/16/1990,459,0,32.13,32.13
East Baton Rouge,3/1/1990,3/31/1990,4/19/1990,468,0,32.76,32.76
East Baton Rouge,4/1/1990,4/30/1990,5/23/1990,468,0,32.76,32.76
East Baton Rouge,5/1/1990,5/31/1990,6/8/1990,559.8,0,39.19,39.19
East Baton Rouge,6/1/1990,6/30/1990,7/13/1990,468,0,32.76,32.76
East Baton Rouge,7/1/1990,7/31/1990,8/28/1990,468.06,0,32.76,32.76
East Baton Rouge,8/1/1990,8/31/1990,10/1/1990,505.74,0,35.41,35.41
East Baton Rouge,9/1/1990,9/30/1990,10/25/1990,487.02,0,34.1,34.1
East Baton Rouge,10/1/1990,10/31/1990,11/7/1990,487.02,0,34.1,34.1
East Baton Rouge,11/1/1990,11/30/1990,12/14/1990,487.02,0,34.1,34.1
East Baton Rouge,12/1/1990,12/31/1990,1/9/1991,487.02,0,34.1,34.1
East Baton Rouge,1/1/1991,1/31/1991,2/19/1990,487.02,0,34.1,34.1
East Baton Rouge,1/1/1991,1/31/1991,2/18/1992,506.5,0,35.46,35.46
East Baton Rouge,1/1/1991,1/31/1991,2/18/1992,-506.5,0,-35.46,-35.46
