employer,period_begin,period_end,post_date,salary,sheltered,unsheltered,total
ROVERS,7/1/2021,7/31/2021,8/10/2021,"5,787.30",405.12,0,405.12
ROVERS,7/1/2021,7/31/2021,8/10/2021,"-5,787.30",-405.12,0,-405.12
Rapides,9/1/1988,9/30/1988,6/30/1989,"1,324.50",0,119.22,119.22
Rapides,12/1/1988,12/31/1988,6/30/1989,"1,324.50",0,119.22,119.22
Rapides,3/1/1989,3/31/1989,6/30/1989,"1,324.50",0,119.22,119.22
Rapides,6/1/1989,6/30/1989,7/14/1989,"1,324.50",0,119.22,119.22
Rapides,9/1/1989,9/30/1989,10/3/1989,"1,531.50",0,107.22,107.22
Rapides,12/1/1989,12/31/1989,12/29/1989,"1,378.50",0,96.51,96.51
Rapides,3/1/1990,3/31/1990,4/19/1990,"1,378.50",0,96.51,96.51
Rapides,6/1/1990,6/30/1990,7/24/1990,"1,378.50",0,96.5,96.5
Rapides,7/1/1990,7/31/1990,8/14/1990,626.09,0,43.83,43.83
Rapides,8/1/1990,8/31/1990,10/18/1990,497.13,0,34.8,34.8
Rapides,9/1/1990,9/30/1990,10/18/1990,516.25,0,36.14,36.14
Rapides,10/1/1990,10/31/1990,11/30/1990,487.88,0,34.15,34.15
Rapides,11/1/1990,11/30/1990,1/3/1990,487.88,0,34.15,34.15
Rapides,12/1/1990,12/31/1990,1/3/1990,487.88,0,34.15,34.15
Rapides,1/1/1991,1/31/1991,2/19/1990,576.74,0,40.37,40.37
Rapides,2/1/1991,2/28/1991,3/5/1991,517.5,0,36.23,36.23
Rapides,4/1/1991,4/30/1991,4/3/1991,517.5,0,36.23,36.23
Rapides,4/1/1991,4/30/1991,5/13/1991,517.5,0,36.23,36.23
Rapides,5/1/1991,5/31/1991,6/12/1991,517.5,0,36.23,36.23
Rapides,6/1/1991,6/30/1991,8/28/1991,517.5,0,36.23,36.23
Rapides,7/1/1991,7/31/1991,7/19/1991,517.5,0,36.23,36.23
Rapides,7/1/1991,7/31/1991,7/19/1991,-517.5,0,-36.23,-36.23
Rapides,7/1/1991,7/31/1991,8/15/1991,517.5,0,36.23,36.23
Rapides,8/1/1991,8/31/1991,9/17/1991,517.5,0,36.23,36.23
Rapides,9/1/1991,9/30/1991,10/17/1991,517.5,0,36.23,36.23
Rapides,10/1/1991,10/31/1991,11/22/1991,517.5,0,36.23,36.23
Rapides,11/1/1991,11/30/1991,12/6/1991,517.5,0,36.23,36.23
Rapides,12/1/1991,12/31/1991,1/15/1992,559.5,0,39.17,39.17
Rapides,1/1/1992,1/31/1992,2/11/1992,538.5,0,37.7,37.7
Rapides,2/1/1992,2/28/1992,3/9/1992,538.5,0,37.7,37.7
Rapides,3/1/1992,3/31/1992,4/10/1992,538.5,0,37.7,37.7
Rapides,4/1/1992,4/30/1992,5/15/1992,538.5,0,37.7,37.7
Rapides,5/1/1992,5/31/1992,6/8/1992,538.5,0,37.7,37.7
Rapides,6/1/1992,6/30/1992,7/13/1992,538.5,0,37.7,37.7
Rapides,7/1/1992,7/31/1992,8/7/1992,538.5,0,37.7,37.7
Rapides,8/1/1992,8/31/1992,9/15/1992,538.5,0,37.7,37.7
Rapides,9/1/1992,9/30/1992,10/16/1992,538.5,0,37.7,37.7
Rapides,10/1/1992,10/31/1992,11/9/1992,538.5,0,37.7,37.7
Rapides,11/1/1992,11/30/1992,12/14/1992,560.5,0,39.24,39.24
Rapides,12/1/1992,12/31/1992,1/6/1993,560.5,0,39.24,39.24
Rapides,1/1/1993,1/31/1993,2/11/1993,560.5,0,39.24,39.24
Rapides,2/1/1993,2/28/1993,3/9/1993,560.5,0,39.24,39.24
Rapides,3/1/1993,3/31/1993,4/12/1993,560.5,0,39.24,39.24
Rapides,4/1/1993,4/30/1993,5/14/1993,560.5,0,39.24,39.24
Rapides,4/1/1993,4/30/1993,6/10/1993,560.5,0,39.24,39.24
Rapides,6/1/1993,6/30/1993,7/12/1993,560.5,0,39.24,39.24
Rapides,6/1/1993,6/30/1993,7/9/1993,560.5,0,39.24,39.24
Rapides,6/1/1993,6/30/1993,7/12/1993,-560.5,0,-39.24,-39.24
Rapides,7/1/1993,7/31/1993,8/17/1993,560.5,0,39.24,39.24
Rapides,8/1/1993,8/31/1993,9/14/1993,560.5,0,39.24,39.24
Rapides,9/1/1993,9/30/1993,10/15/1993,560.5,0,39.24,39.24
Rapides,10/1/1993,10/31/1993,11/12/1993,583,0,40.81,40.81
Rapides,11/1/1993,11/30/1993,12/22/1993,583,0,40.81,40.81
Rapides,12/1/1993,12/31/1993,1/11/1994,583,0,40.81,40.81
Rapides,1/1/1994,1/31/1994,2/11/1994,583,0,40.81,40.81
Rapides,2/1/1994,2/28/1994,3/18/1994,583,0,40.81,40.81
Rapides,3/1/1994,3/31/1994,4/18/1994,583,0,40.81,40.81
Rapides,4/1/1994,4/30/1994,5/20/1994,583,0,40.81,40.81
Rapides,5/1/1994,5/31/1994,6/16/1994,706,0,49.42,49.42
Rapides,6/1/1994,6/30/1994,7/12/1994,624,0,43.68,43.68
Rapides,7/1/1994,7/31/1994,8/16/1994,624,0,43.68,43.68
Rapides,8/1/1994,8/31/1994,9/20/1994,624,0,43.68,43.68
Rapides,9/1/1994,9/30/1994,10/11/1994,624,0,43.68,43.68
Rapides,10/1/1994,10/31/1994,11/17/1994,624,0,43.68,43.68
Rapides,11/1/1994,11/30/1994,12/14/1994,649,0,45.43,45.43
Rapides,12/1/1994,12/31/1994,1/10/1995,649,0,45.43,45.43
Rapides,1/1/1995,1/31/1995,2/13/1995,649,0,45.43,45.43
Rapides,2/1/1995,2/28/1995,3/21/1995,649,0,45.43,45.43
Rapides,3/1/1995,3/31/1995,4/11/1995,649,0,45.43,45.43
Rapides,4/1/1995,4/30/1995,5/16/1995,649,0,45.43,45.43
Rapides,5/1/1995,5/31/1995,6/15/1995,649,0,45.43,45.43
Rapides,6/1/1995,6/30/1995,7/13/1995,649,0,45.43,45.43
Rapides,7/1/1995,7/31/1995,7/13/1995,649,0,45.43,45.43
Rapides,7/1/1995,7/31/1995,8/15/1995,649,0,45.43,45.43
Rapides,7/1/1995,7/31/1995,7/13/1995,-649,0,-45.43,-45.43
Rapides,8/1/1995,8/31/1995,9/19/1995,649,0,45.43,45.43
Rapides,9/1/1995,9/30/1995,10/5/1995,649,0,45.43,45.43
Rapides,10/1/1995,10/31/1995,11/14/1995,649,0,45.43,45.43
Rapides,11/1/1995,11/30/1995,12/19/1995,675,0,47.25,47.25
Rapides,12/1/1995,12/31/1995,1/18/1996,675,0,47.25,47.25
Rapides,1/1/1996,1/31/1996,2/15/1996,675,0,47.25,47.25
Rapides,2/1/1996,2/28/1996,3/21/1996,675,0,47.25,47.25
Rapides,3/1/1996,3/31/1996,4/9/1996,675,0,47.25,47.25
Rapides,4/1/1996,4/30/1996,5/14/1996,675,0,47.25,47.25
Rapides,5/1/1996,5/31/1996,6/12/1996,675,0,47.25,47.25
Rapides,6/1/1996,6/30/1996,7/16/1996,675,0,47.25,47.25
Rapides,7/1/1996,7/31/1996,8/20/1996,675,0,47.25,47.25
Rapides,8/1/1996,8/31/1996,9/16/1996,675,0,47.25,47.25
Rapides,9/1/1996,9/30/1996,10/8/1996,675,0,47.25,47.25
Rapides,10/1/1996,10/31/1996,11/21/1996,702,0,49.14,49.14
Rapides,11/1/1996,11/30/1996,12/23/1996,702,0,49.14,49.14
Rapides,12/1/1996,12/31/1996,1/9/1997,702,0,49.14,49.14
Rapides,1/1/1997,1/31/1997,2/18/1997,702,0,49.14,49.14
Rapides,2/1/1997,2/28/1997,3/18/1997,702,0,49.14,49.14
Rapides,3/1/1997,3/31/1997,4/9/1997,702,0,49.14,49.14
Rapides,4/1/1997,4/30/1997,5/15/1997,702,0,49.14,49.14
Rapides,5/1/1997,5/31/1997,6/17/1997,702,0,49.14,49.14
Rapides,6/1/1997,6/30/1997,7/9/1997,702,0,49.14,49.14
Rapides,7/1/1997,7/31/1997,8/12/1997,702,0,49.14,49.14
Rapides,8/1/1997,8/31/1997,9/22/1997,702,0,49.14,49.14
Rapides,9/1/1997,9/30/1997,10/23/1997,702,0,49.14,49.14
Rapides,10/1/1997,10/31/1997,11/20/1997,702,0,49.14,49.14
Rapides,11/1/1997,11/30/1997,12/16/1997,730.5,0,51.14,51.14
Rapides,12/1/1997,12/31/1997,1/15/1998,730.5,0,51.14,51.14
Rapides,1/1/1998,1/31/1998,2/12/1998,730.5,0,51.14,51.14
